127.0.0.1 - - [18/Apr/2016:15:20:38 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:40 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:40 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:40 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:40 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:40 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:40 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:43 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:45 +0700] "GET /engreview/toeic600 HTTP/1.1" 200 37410
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:20:46 +0700] "GET /engreview/homnay HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:27:07 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:28:17 +0700] "GET /engreview/homqua HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:28:18 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 12493
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:29:54 +0700] "GET /engreview/chitiet?id=301 HTTP/1.1" 200 6351
0:0:0:0:0:0:0:1 - - [18/Apr/2016:15:29:54 +0700] "GET /engreview/css/chitiet/chitiet.css HTTP/1.1" 200 3244
