127.0.0.1 - - [15/Apr/2016:07:06:14 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:06:16 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:06:21 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/anhviet HTTP/1.1" 200 85530
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:43 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:09:50 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26328
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:12 +0700] "GET /engreview/theodoi HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:26 +0700] "GET /engreview/homkia HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:27 +0700] "GET /engreview/homqua HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:28 +0700] "GET /engreview/homnay HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:29 +0700] "GET /engreview/macdinh HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:30 +0700] "GET /engreview/toeic600 HTTP/1.1" 200 37410
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:33 +0700] "GET /engreview/chitiet HTTP/1.1" 200 6232
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:34 +0700] "GET /engreview/vietanh HTTP/1.1" 200 77658
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:37 +0700] "GET /engreview/anhviet HTTP/1.1" 200 85530
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:38 +0700] "GET /engreview HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:38 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:10:39 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Apr/2016:07:12:26 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26328
0:0:0:0:0:0:0:1 - - [15/Apr/2016:11:55:44 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [15/Apr/2016:11:55:44 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Apr/2016:11:55:45 +0700] "GET /engreview/toeic600 HTTP/1.1" 200 37410
0:0:0:0:0:0:0:1 - - [15/Apr/2016:11:55:46 +0700] "GET /engreview/homkia HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [15/Apr/2016:11:55:48 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26328
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:17:44 +0700] "GET /engreview/homkia HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:17:45 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26328
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26333
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:14:52:54 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [15/Apr/2016:21:18:27 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [15/Apr/2016:21:18:28 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Apr/2016:21:18:29 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26333
0:0:0:0:0:0:0:1 - - [15/Apr/2016:21:18:30 +0700] "GET /engreview/theodoi HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [15/Apr/2016:21:18:32 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 26333
